location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
O02,10/18/16 11:15,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
P01,10/18/16 11:15,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
P01,10/18/16 11:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
P01,10/18/16 11:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
P01,10/18/16 11:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
P01,10/18/16 11:15,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P01,10/18/16 11:15,-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
P02,10/18/16 11:15,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
R01,10/18/16 11:15,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
R01,10/18/16 11:15,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
R01,10/18/16 11:15,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
R01,10/18/16 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
R01,10/18/16 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
R02,10/18/16 11:14,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,10/18/16 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,10/18/16 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,10/18/16 11:14,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,10/18/16 11:14,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,10/18/16 11:14,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
